;Multicube;Formula;Format;Comments;Code;Summary;"Time Summary";"User Lists";"Time Scale";Versions;"Cube Subset";"DCA Formula";"Use Switchover";"Use Workflow";"Storage Format";Style;"Referenced By";"Cell Count";"Size (GB)";"User Context Dimension";"Omit Dimensions";"Clean Cells";"Repair Cells";Id;AutoCalculation;"Last Update";"Obfuscation Formula";"Stable View Formula";"User View Formula";"Error Comment"
"Импорт факта УК PL";;;;"'s NUM PL F1'";;;;"'s NUM PL Факт'";"MS Факт";;;;;;;;;74880540;0.22116888687015;;;;;102000000139;;;;;;
"Выбрать для нормализации";"Импорт факта УК PL";;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;"As Summary";;;;;'Доступность';true;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;;1069722;0.0019925124943256;;;;;392000005530;true;;;;;
Месяц;"Импорт факта УК PL";"'M01.02.09 Month Control'.'Item'";"{""dataType"":""TIME_ENTITY"",""hierarchyEntityLongId"":13000000003,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER""}";;;None;"As Summary";;;;;;true;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;"'M05.02.01 REPORT PL по Доменам'.'весь факт по статьям', 'M05.02.01 REPORT PL по Доменам'.'НОВЫЙ Первичный расчет суммы', 'Есть данные', 'Месяц текст', 'Дата как число', 'M05.02.04 REPORT PL по МВЗ'.'НОВЫЙ Первичный расчет суммы', 'M05.02.03 REPORT PL по направлениям'.Предварительный, 'M05.02.03 REPORT PL по направлениям'.'НОВЫЙ Первичный расчет суммы new', 'M05.02.05 REPORT PL по ЮЛ и БЕ'.'НОВЫЙ Первичный расчет суммы', 'M05.02.11 REPORT PL по БЕ'.'весь факт по статьям', 'M05.02.11 REPORT PL по БЕ'.'НОВЫЙ Первичный расчет суммы', 'M05.02.11 REPORT PL по БЕ'.'x НОВЫЙ Первичный расчет суммы new', 'M05.02.11 REPORT PL по БЕ'.Факт, 'M05.02.12 REPORT PL по БЕ и направлениям'.'весь факт по статьям', 'M05.02.12 REPORT PL по БЕ и направлениям'.'НОВЫЙ Первичный расчет суммы', 'M05.02.12 REPORT PL по БЕ и направлениям'.Предварительный, 'M03.01.04 Агрегированный P&L'.'tech Факт'";1069722;0.0079700499773026;;;;;392000001501;true;;;'221000000071';"'M01.02.09 Month Control'.'Item'";
"Отчетный период";"Импорт факта УК PL";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;"As Summary";;;;;'Доступность';true;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;;1069722;0;;;;;392000001502;true;;;;;
source_val;"Импорт факта УК PL";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;"As Summary";;;;;'Доступность';true;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;;1069722;0;;;;;392000001503;true;;;;;
Кластер;"Импорт факта УК PL";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;"As Summary";;;;;'Доступность';true;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;;1069722;0;;;;;392000001504;true;;;;;
Домен;"Импорт факта УК PL";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;"As Summary";;;;;'Доступность';true;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;"'Распознавание Домен'";1069722;0;;;;;392000007458;true;;;;;
БЕ;"Импорт факта УК PL";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;"As Summary";;;;;'Доступность';true;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;"'Распознавание БЕ', 'L BE'";1069722;0;;;;;392000001505;true;;;;;
"Юр лицо";"Импорт факта УК PL";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;"As Summary";;;;;'Доступность';true;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;"'Распознавание ЮЛ'";1069722;0;;;;;392000001506;true;;;;;
ЦФО;"Импорт факта УК PL";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;"As Summary";;;;;'Доступность';true;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;;1069722;0;;;;;392000001507;true;;;;;
