;Code;Multicubes;Comments;Production;"Dev Complete"
"cs Импорт ЦСП (корректировки)";;"'Импорт Расходы ЦСП (корректировки)'";;false;false
"s cs Месяцы CF Импорт Расходы по ЦФО OPEX ручной ввод";;"'Импорт Расходы по ЦФО OPEX ручной ввод'";"МН старая выборка 11.03.2026";false;false
"s cs Месяцы PL Импорт Расходы по ЦФО OPEX ручной ввод";;"'Импорт Расходы по ЦФО OPEX ручной ввод'";"МН старая выборка 11.03.2026";false;false
"s cs M02.02.08 Ручной ввод Расходы и Доходы";;"'M02.02.08 Ручной ввод Расходы и Доходы'";МН;false;false
"s cs Месяцы PL-CF Импорт Расходы по ЦФО OPEX ручной ввод (ЮЛ)";;"'Импорт Расходы по ЦФО OPEX ручной ввод (ЦФО)'";;false;false
"s cs Месяцы PL Импорт Расходы по ЦФО OPEX ручной ввод (субаренда)";;"'Импорт Расходы по ЦФО OPEX ручной ввод (субаренда)'";;false;false
"s cs Месяцы Импорт Расходы по ЦФО OPEX ручной ввод (Проекты)";;"'Импорт Расходы по ЦФО OPEX ручной ввод (Проекты)'";;false;false
"s cs Месяцы Импорт Расходы по ЦФО OPEX ручной ввод (Проекты) - только PL";;"'Импорт Расходы по ЦФО OPEX ручной ввод (Проекты)'";;false;false
"s cs Месяцы Импорт Расходы по ЦФО OPEX ручной ввод (ЦФО)";;"'Импорт Расходы по ЦФО OPEX ручной ввод (ЦФО)'";"МН старая выборка 11.03.2026";false;false
"s cs M02.02.09 Ручной ввод Расходы по ЦФО OPEX";;"'M02.02.09 Ручной ввод Расходы по ЦФО OPEX'";МН;false;false
"s cs Месяцы Импорт Расходы по ЦФО OPEX ручной ввод (ЦФО) - только PL";;"'Импорт Расходы по ЦФО OPEX ручной ввод (ЦФО)'";"МН старая выборка 11.03.2026";false;false
"s cs Месяцы для перераспределения расходов по Мультикарте";;"'M03.01.15 MC. Перераспределение расходов по ЦФО OPEX'";АК;false;false
"s cs M10.03 Таблица для ввода данных (стойки)";;"'M10.03 Таблица для ввода данных (стойки)'";АП;false;false
"s cs M10.06 Таблица для ввода данных (аренда каналов)";;"'M10.06 Таблица для ввода данных (аренда каналов)'";АП;false;false
"s cs M10.07 Планирование лицензий (лицензии)";;"'M10.07 Планирование лицензий (лицензии)'";АП;false;false
"s cs M11.01 DRILL OC и HMA (амортизация)";;"'M11.01 DRILL OC и HMA (амортизация)'";АП;false;false
"ххcs Планирование";;Планирование;"2025-10-07_Старая выборка";false;false
"cs PL по БЕ и направлениям (расчетные статьи)";;"'PL по БЕ и направлениям (расчетные статьи)'";;false;false
"cs PL общий (расчетные статьи)";;"'M05.02.06 REPORT PL общий (расчетные статьи)'";;false;false
"cs PL v1 ЮЛ БЕ";;"'PL v1 ЮЛ БЕ'";;false;false
"cs PL v1 ЦК";;"'M03.01.17 PL v1 МВЗ'";;false;false
"cs CF УК (расчетные статьи)";;"'M05.03.03 REPORT CF общий'";;false;false
"cs Ввод Capex (проекты) CF";;"'Ввод Capex (проекты)'";;false;false
"cs Ввод Capex (проекты) PL";;"'Ввод Capex (проекты)'";;false;false
"cs Количество строк";;"'M01.02.03 Количество строк'";;false;false
"CS Monthly report PL BU, млн. руб. new";;"'M05.01.02 REPORT Monthly PL BU, млн. руб.'";;false;false
"cs PL общий (расчетные статьи) БЕ ТЕСТ";;"'PL общий (расчетные статьи) на БЕ ТЕСТ'";;false;false
"cs CF расчетные статьи БЕ ТЕСТ";;"'CF расчетные статьи БЕ ТЕСТ'";;false;false
"cs Планирование с БК и ЦК на NUM";;"'Планирование с БК и ЦК на NUM'";;false;false
"cs M03.01.01 Свод по выручке";;"'M03.01.01 Свод по выручке'";МН;false;false
"cs M02.02.11 План ТД CRM и EG";;"'M02.02.11 IMPORT План расходов ТД CRM и EG'";МН;false;false
"cs M02.02.14 План ТД 1С:УХ";;"'M02.02.14 IMPORT План расходов ТД 1С:УХ'";МН;false;false
"cs M02.02.15 Расчет ФОТ по сделкам CRM";;"'M02.02.15 Расчет ФОТ по сделкам CRM'";;false;false
test;;"'M03.01.01 Свод по выручке'";;false;false
"cs M03.01.03 Сводный план Технической Дирекции";;"'M03.01.03 Сводный план Технической Дирекции'";;false;false
"X_cs PL v1 ЮЛ";;;;false;false
"X_cs PL v1 ЮЛ Спецпроекты";;;;false;false
"X_cs CF Спецпроекты (расчетные статьи)";;;;false;false
"X_cs CF общий (расчетные статьи)";;;;false;false
"X_cs Ручной ввод ExGap и корректировок";;;;false;false
"X_cs Ручной ввод ExGap Рынок";;;;false;false
"X_cs Ручной ввод ExGap поквартально";;;;false;false
"x cs Месяцы импорта HR";;;;false;false
"s cs Месяцы CF Импорт Расходы по ЦФО OPEX";;;;false;false
"s cs Месяцы PL Импорт Расходы по ЦФО OPEX";;;;false;false
"s cs M05.05.02 Отчет по распределенным расходам";;"'M05.05.02b REPORT Расходы Мультикарта. Сервера', 'M05.05.02c REPORT Расходы Мультикарта. Авторизации', 'M05.05.02b REPORT Расходы Мультикарта. Проект', 'M05.05.02b REPORT Расходы Мультикарта. Распределяемые'";АК;false;false
