;Code;"Top Level";"Parent Hierarchy";Folder;Comments;Numbered;Flat;"Clean Cells";"Display Name Property";UAM;"Attribute Access";"Has Workflow";"List Type";"Cell Count";"Element Count";"Size (GB)";Production;"Dev Complete";Id
"Access Levels";;;;;;false;true;;;None;false;false;"Access Level List";0;3;0;false;false;101000000003
Users;;;;;;false;false;;;None;false;false;"User List";335;67;1.6223639249802E-6;false;false;101000000002
Roles;;;;;;false;false;;;None;false;false;"Role List";0;13;0;false;false;101000000001
Users1;;;;;;false;false;;;Direct;false;false;"Custom List";51;17;3.7997961044312E-7;false;false;101000000055
"L Проект ЦФО";;;;;МДП;false;false;;;Direct;false;false;"Custom List";90;15;3.0733644962311E-7;false;false;101000000038
"L Версии";;;;;МДП;false;false;;"Display Name";Direct;false;false;"Custom List";130;13;3.3900141716003E-7;false;false;101000000053
"L Блоки модели";;;;;"МДП а зачем нужно МДП? Функционал неактуален. Скрипты и настроечные МК удалены.";false;false;;;Direct;false;false;"Custom List";0;13;0;false;false;101000000054
"L Ком блок";;;;;МДП;false;false;;;Direct;false;false;"Custom List";6;2;2.9802322387695E-8;false;false;101000000075
"L Тех блок";;;;;МДП;false;false;;;Direct;false;false;"Custom List";3;1;1.4901161193848E-8;false;false;101000000076
"L2 ЦФО";;;;;МДП;false;false;;"Display Name";Cascade;false;false;"Custom List";16288;1018;3.4131109714508E-5;false;false;101000000061
"L BE";;;;;МДП;false;false;;Наименование;Direct;false;false;"Custom List";255;17;6.9662928581238E-7;false;false;101000000005
"< - - - Основные справочники - - - >";;;;;;false;false;;;None;false;false;"Custom List";0;0;0;false;false;101000000004
"L DWH fields";;;;;;false;false;;;None;false;false;"Custom List";0;44;0;false;false;101000000107
"L Системы отчетности";;;;;;false;false;;;None;false;false;"Custom List";0;2;0;false;false;101000000100
"L0 Кластер";;"ГК Т1";;;;false;false;;;None;false;false;"Custom List";42;14;1.0430812835693E-7;false;false;101000000059
"L Домены";;;;;;false;false;;"Display Name";None;false;false;"Custom List";50;10;7.4505805969238E-8;false;false;101000000083
"L БЕ-Домен";;;"L Домены";;;false;false;;"Display Name";None;false;false;"Custom List";180;36;6.0349702835083E-7;false;false;101000000088
"L Доп ЮЛ";;;"L BE";;;false;false;;;None;false;false;"Custom List";0;28;0;false;false;101000000044
"L Сделки";;;;;"Сделки входящие данные";true;false;;"Display Name";None;false;false;"Custom List";1513308;32898;0.0060051754117012;false;false;101000000006
"L Источники сделки";;;;;АП;false;false;;;None;false;false;"Custom List";4;4;7.4505805969238E-9;false;false;101000000121
"L Сделки Custom";;;;;;false;false;;;None;false;false;"Custom List";527055;35137;0.0022906716912985;false;false;101000000081
"L Cделки EG Custom";;;;;;false;false;;;None;false;false;"Custom List";0;50;0;false;false;101000000124
"L Проект";;;;;;false;false;;;None;false;false;"Custom List";678;339;2.5257468223572E-6;false;false;101000000018
"L Контрагент (для передачи)";;;;;;false;false;;;None;false;false;"Custom List";175;35;7.82310962677E-7;false;false;101000000072
"L Контрагенты 1СУХ";;;;;;false;false;;description;None;false;false;"Custom List";1177726;53533;0.0028916765004396;false;false;101000000086
"L Показатель";;;;;"ВВ, ВП, контрактование";false;false;;;None;false;false;"Custom List";15;5;8.3819031715393E-8;false;false;101000000009
"L Клиент";;;;;;false;false;;;None;false;false;"Custom List";111940;5597;0.00018765404820442;false;false;101000000011
"L Клиент_LAM";;;;;;false;false;;;None;false;false;"Custom List";82134;9126;0.00016998499631882;false;false;101000000150
"L КАМ";;;;;;false;false;;;None;false;false;"Custom List";1902;634;4.7236680984497E-6;false;false;101000000012
"L LАМ";;;;;;false;false;;;None;false;false;"Custom List";0;43;0;false;false;101000000116
"L Вертикаль";;;;;;false;false;;;None;false;false;"Custom List";14;14;1.0430812835693E-7;false;false;101000000013
"L Направления";;;;;;false;false;;"Display Name";None;false;false;"Custom List";98;14;1.564621925354E-7;false;false;101000000084
"L Валюты";;;;;;false;false;;;None;false;false;"Custom List";0;3;0;false;false;101000000017
"L CF";;;;;;false;false;;"Display name";None;false;false;"Custom List";12775;511;4.3783336877823E-5;false;false;101000000019
"L CF И";;;;;;false;false;;"Display Name";None;false;false;"Custom List";4500;225;1.927837729454E-5;false;false;101000000043
"L Партнер";;;;;;false;false;;;None;false;false;"Custom List";0;7;0;false;false;101000000020
"L Группа БизКат";;;;;;false;false;;;None;false;false;"Custom List";250;50;5.5879354476929E-7;false;false;101000000022
"L БизКат";;;;;;false;false;;"Display Name";None;false;false;"Custom List";492;82;1.3746321201324E-6;false;false;101000000021
"L Вид поставки";;;;;;false;false;;;None;false;false;"Custom List";0;2;0;false;false;101000000023
"L Вендор";;;;;;false;false;;;None;false;false;"Custom List";0;57;0;false;false;101000000024
"L СубПодрядчик";;;;;;false;false;;;None;false;false;"Custom List";0;14;0;false;false;101000000025
"L Тип выручки/расходов";;;;;;false;false;;;None;false;false;"Custom List";10;5;1.862645149231E-8;false;false;101000000063
"L Рамки";;;;;;false;false;;;None;false;false;"Custom List";18;18;0;false;false;101000000027
"L ЮЛТ1Е";;;;;"не исп";false;false;;;None;false;false;"Custom List";0;39;0;false;false;101000000028
"L Показатели планирования";;;;;"ДС 10.03.2026 старая нумерация, до БП2026. Сейчас актуален L Показатель";false;false;;;None;false;false;"Custom List";24;4;6.7055225372314E-8;false;false;101000000029
"L Тип планирования";;;;;"тех справочник";false;false;;;None;false;false;"Custom List";4;4;2.9802322387695E-8;false;false;101000000050
"L ЦК";;;;;"L ЦК дирекция";false;false;;"Display Name";None;false;false;"Custom List";1995;133;5.9455633163452E-6;false;false;101000000032
"L Фин категория";;;;;"не исп";false;false;;;None;false;false;"Custom List";10;10;7.4505805969238E-8;false;false;101000000033
"L PL (ЕКДР)";;;;;;true;false;;"Display Name";None;false;false;"Custom List";15288;392;5.0380825996399E-5;false;false;101000000034
"L PL (ЕКДР) test";;;;;;false;false;;;None;false;false;"Custom List";4741;431;1.123920083046E-5;false;false;101000000058
"L PL конс";;;;;;true;false;;"Display Name";None;false;false;"Custom List";30192;408;8.8915228843689E-5;false;false;101000000052
"L PL group";;;;;;false;false;;"Display Name";None;false;false;"Custom List";177;59;4.3958425521851E-7;false;false;101000000106
"L PL ЦК";;;;;;true;false;;"Display Name";None;false;false;"Custom List";58;29;2.1606683731079E-7;false;false;101000000046
"L Виды начислений";;Total;;;;false;false;;;None;false;false;"Custom List";84;6;3.4645199775696E-7;false;false;101000000035
"L Функция";;;;;;false;false;;;None;false;false;"Custom List";0;2;0;false;false;101000000036
"L Контрагент";;;;;;false;false;;kont_name1;None;false;false;"Custom List";228;57;4.2468309402466E-7;false;false;101000000066
"L контрагент для шаблона бюджета";;;;;;false;false;;;None;false;false;"Custom List";0;17;0;false;false;101000000039
"L Услуги";;;;;;false;false;;;None;false;false;"Custom List";1127;49;7.6666474342346E-6;false;false;101000000040
"L Виды работ";;;;;;false;false;;;None;false;false;"Custom List";5;5;9.3132257461548E-9;false;false;101000000049
"L1 Блок PL HR";;;;;;false;false;;;None;false;false;"Custom List";0;4;0;false;false;101000000064
"L1 ЦСП";;;;;;false;false;;"Display name";None;false;false;"Custom List";336;28;9.387731552124E-7;false;false;101000000056
"L Active";;Total;;;;false;false;;Наименование;None;false;false;"Custom List";41013;5859;8.7305903434753E-5;false;false;101000000065
"L Офисы";;;;;;false;false;;"Display name";None;false;false;"Custom List";2862;318;7.1078538894653E-6;false;false;101000000068
"L Блоки PL";;;;;;false;false;;;None;false;false;"Custom List";12;4;4.4703483581543E-8;false;false;101000000069
"L Тип затрат";;;;;;false;false;;;None;false;false;"Custom List";46;46;3.427267074585E-7;false;false;101000000071
"L Процесс бюджетирования ком блок";;;;;;false;false;;;None;false;false;"Custom List";12;4;2.2351741790771E-8;false;false;101000000077
