;Formula;Format;Comments;Code;Summary;"DCA Formula";"Use Workflow";"Storage Format";"Referenced By";"Cell Count";"Size (GB)";"Clean Cells";Id;AutoCalculation;"Last Update";"Obfuscation Formula";"Stable View Formula";"User View Formula";"Error Comment"
"Access Levels";;;;;;;;;;0;0;;101000000003;;;;;;
Users;;;;;;;;;;335;1.6223639249802E-6;;101000000002;;;;;;
Роль;;"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000001,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false,""filterType"":""NONE""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;67;4.991888999939E-7;;129000000877;true;;;;;
item;ITEM('Users');"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000002,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";name;67;4.991888999939E-7;;129000000233;true;;;ITEM('101000000002');ITEM('Users');
name;NAME('item');"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";'users1';67;0;;129000000234;true;;;NAME('129000000233');NAME('item');
users1;"FINDITEM('Users1', 'name')";"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000055,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;67;4.991888999939E-7;;129000000235;true;;;"FINDITEM('101000000055', '129000000234')";"FINDITEM('Users1', 'name')";
"Есть доступ к детализации";;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;67;1.2479722499847E-7;;129000000232;true;;;;;
Roles;;;;;;;;;;0;0;;101000000001;;;;;;
Users1;;;;;;;;;;51;3.7997961044312E-7;;101000000055;;;;;;
item;;"{""dataType"":""NUMBER"",""minimumSignificantDigits"":-1,""decimalPlaces"":0,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""SPACE"",""negativeNumberNotation"":""MINUS_SIGN"",""zeroFormat"":""ZERO"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""currencyCode"":null,""customUnits"":null,""comparisonIncrease"":""GOOD"",""nanApplied"":false,""nanDisplayValue"":""NaN""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;17;1.2665987014771E-7;;129000000236;true;;;;;
name;;"{""dataType"":""NUMBER"",""minimumSignificantDigits"":-1,""decimalPlaces"":0,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""SPACE"",""negativeNumberNotation"":""MINUS_SIGN"",""zeroFormat"":""ZERO"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""currencyCode"":null,""customUnits"":null,""comparisonIncrease"":""GOOD"",""nanApplied"":false,""nanDisplayValue"":""NaN""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;17;1.2665987014771E-7;;129000000237;true;;;;;
user;;"{""dataType"":""NUMBER"",""minimumSignificantDigits"":-1,""decimalPlaces"":0,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""SPACE"",""negativeNumberNotation"":""MINUS_SIGN"",""zeroFormat"":""ZERO"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""currencyCode"":null,""customUnits"":null,""comparisonIncrease"":""GOOD"",""nanApplied"":false,""nanDisplayValue"":""NaN""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;17;1.2665987014771E-7;;129000000238;true;;;;;
"L Проект ЦФО";;;МДП;;;;;;;90;3.0733644962311E-7;;101000000038;;;;;;
item;"ITEM('L Проект ЦФО')";"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000038,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"name, 'Расходы по ЦФО OPEX ручной ввод (Проекты)'.'x проект'";15;1.1175870895386E-7;;129000000124;true;;;ITEM('101000000038');"ITEM('L Проект ЦФО')";
name;NAME('item');"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;15;0;;129000000241;true;;;NAME('129000000124');NAME('item');
"Не брать напрямую с Opex в 15";;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;15;2.7939677238464E-8;;129000000127;true;;;;;
"Прочие прямые?";;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Импорт Расходы ЦСП (корректировки)'.'Указан спецпроект?'";15;2.7939677238464E-8;;129000000413;true;;;;;
