ListsSubsets;"Full Name";"Cell Count"
"s L Проект ЦФО Активные проекты";"'L Проект ЦФО'.'s L Проект ЦФО Активные проекты'";12
"S Версии/План";"'L Версии'.'S Версии/План'";1
"S Версии/ПланВвод";"'L Версии'.'S Версии/ПланВвод'";1
"S Версии/Архив";"'L Версии'.'S Версии/Архив'";1
"S Версии/Новый расчет";"'L Версии'.'S Версии/Новый расчет'";1
"s Факт";"'L Версии'.'s Факт'";1
"s Все версии";"'L Версии'.'s Все версии'";2
"s test";"'L Версии'.'s test'";2
"s ЦФО Активные МВЗ из ТД";"'L2 ЦФО'.'s ЦФО Активные МВЗ из ТД'";78
"s ЦФО доходное Мультикарта";"'L2 ЦФО'.'s ЦФО доходное Мультикарта'";6
"s ЦФО Мультикарта";"'L2 ЦФО'.'s ЦФО Мультикарта'";10
"s ЦФО Мультикарта для распределения";"'L2 ЦФО'.'s ЦФО Мультикарта для распределения'";21
"s МВЗ Капитализация";"'L2 ЦФО'.'s МВЗ Капитализация'";8
"s МВЗ для ставки";"'L2 ЦФО'.'s МВЗ для ставки'";42
"s Планирование";"'L BE'.'s Планирование'";7
"s БЕ Т1И";"'L BE'.'s БЕ Т1И'";11
"s БЕ ЦСП";"'L BE'.'s БЕ ЦСП'";11
"s БЕ HR";"'L BE'.'s БЕ HR'";10
"s БЕ CRM";"'L BE'.'s БЕ CRM'";10
"s БЕ LAM";"'L BE'.'s БЕ LAM'";13
"s.БЕ РМ";"'L BE'.'s.БЕ РМ'";1
"s.БЕ Мультикарта";"'L BE'.'s.БЕ Мультикарта'";1
"s БЕ Капитализация";"'L BE'.'s БЕ Капитализация'";10
"s БЕ Клауд";"'L BE'.'s БЕ Клауд'";1
"s.БЕ КОД";"'L BE'.'s.БЕ КОД'";1
"s.БЕ отдельный факт для ребюджета";"'L BE'.'s.БЕ отдельный факт для ребюджета'";3
"sL Домены Используемые";"'L Домены'.'sL Домены Используемые'";5
"sL БЕ-Домен";"'L БЕ-Домен'.'sL БЕ-Домен'";4
"s. БЕ Ассоциаты";"'L БЕ-Домен'.'s. БЕ Ассоциаты'";4
"s Сделки Активные";"'L Сделки'.'s Сделки Активные'";4650
"s Сделки Активные LAM";"'L Сделки'.'s Сделки Активные LAM'";4681
"s Сделки несколько ЦК";"'L Сделки'.'s Сделки несколько ЦК'";502
"s Сделки Extra-Gap";"'L Сделки'.'s Сделки Extra-Gap'";1
"s.Активные сделки custom";"'L Сделки Custom'.'s.Активные сделки custom'";5517
"s.Активные сделки custom LAM";"'L Сделки Custom'.'s.Активные сделки custom LAM'";5549
"s Контрагент (для передачи) Планирование БК и ЦК";"'L Контрагент (для передачи)'.'s Контрагент (для передачи) Планирование БК и ЦК'";6
