;Code;Folder;Comments;"User Lists";"Time Scale";Versions;"Cube Subset";"Clean Cells";"Multicube Type";"Cell Count";"Size (GB)";Id;"Dev Complete"
"Импорт факта УК PL";;;"'s NUM PL F1'";"'s NUM PL Факт'";"MS Факт";;;;"Custom Multicube";74880540;0.22116888687015;102000000139;false
"Импорт факта УК CF";;;;"'s NUM CF Факт'";"MS Факт";;;;"Custom Multicube";6945840;0.026580959558487;102000000140;false
"M02.01.01 Импорт факта по капитализации";;;МН;"'s NUM Факт по капитализации'";"MS Факт";;;;"Custom Multicube";2737800;0.0062763690948486;102000000903;false
"M02.01.02 Импорт факта (ручной)";;;МН;"'s.БЕ отдельный факт для ребюджета', 's NUM PL расчет'";;;;;"Custom Multicube";107913600;0.18704608082771;102000000920;false
"< - - - 02.02 Импорт прогноза- - - >";;;;;;;;;"Custom Multicube";0;0;102000000746;false
"M02.02.01 IMPORT CRM все направления, кроме ВГО, Тех. слой";;"02 Импорты";АМ;"'s БЕ CRM', 's NUM импорт CRM NEW', 'S Версии/Новый расчет'";;;;;"Custom Multicube";224215500;0.49943849444389;102000000740;false
"M02.02.02 IMPORT CRM все направления, кроме ВГО, ручной слой";;"02 Импорты";АП;"'s БЕ CRM', 's NUM импорт CRM NEW', 'S Версии/Новый расчет'";;;;;"Custom Multicube";453054000;1.838450320065;102000000713;false
"M02.02.03 IMPORT CRM ВГО Тех. слой";;"02 Импорты";АМ;"'s БЕ CRM', 's NUM импорт CRM', 'S Версии/Новый расчет'";;;;;"Custom Multicube";35469020;0.089904516935349;102000000741;false
"M02.02.04 IMPORT CRM ВГО ручной слой";;"02 Импорты";АМ;"'s БЕ CRM', 's NUM импорт CRM', 'S Версии/Новый расчет'";;;;;"Custom Multicube";71303700;0.30581157654524;102000000735;false
"M02.02.05 IMPORT 1С:УХ Тех. слой";;"02 Импорты";АМ;"'s БЕ CRM', 's NUM импорт 1C UH', 'S Версии/Новый расчет'";;;;;"Custom Multicube";19898800;0.048183724284172;102000000742;false
"M02.02.06 IMPORT 1С:УХ ручной слой";;"02 Импорты";АП;"'s БЕ CRM', 's NUM импорт 1C UH', 'S Версии/Новый расчет'";;;;;"Custom Multicube";55716640;0.24833150207996;102000000712;false
"xx M02.02.07 IMPORT План расходов ТД CRM и EG";;"02 Импорты";"АП - заполняется руками (по аналогии План ТД) ДС удаляем. План ТД руками не вносим.";"'s БЕ CRM', 's NUM План расходов ТД', 'S Версии/Новый расчет'";;;;;"Custom Multicube";15510000;0.081751495599747;102000000710;false
"M02.02.08 Ручной ввод Расходы и Доходы";;"02 Импорты";МН;"'s БЕ Т1И', 's NUM CSP manual', 'S Версии/План'";;;;;"Custom Multicube";6083000;0.037290155887604;102000000737;false
"M02.02.09 Ручной ввод Расходы по ЦФО OPEX";;"02 Импорты";МН;"'s NUM CSP manual ЦФО', 'S Версии/План', 'L2 ЦФО'";;;;;"Custom Multicube";19851000;0.12088101357222;102000000738;false
"M02.02.10 Ручной ввод Extra Gap";;"02 Импорты";АП;"'s БЕ CRM', 's NUM ExtraGap', 'S Версии/Новый расчет'";;;;;"Custom Multicube";270100;0.0015506520867348;102000000739;false
